id,score,attempts,correct_count,wrong_count,avg_response_ms,last_response_ms,last_delta,updated_at
ko-0269,253,2,1,1,8929,14499,-20,2026-05-25T15:24:12.544Z
ko-0270,277,1,1,0,2228,2228,27,2026-05-25T20:30:53.880Z
ko-0272,286,2,2,0,4743,7030,10,2026-05-25T20:34:03.142Z
ko-0273,331,3,3,0,2108,4039,20,2026-05-25T14:43:32.925Z
ko-0274,230,1,0,1,1830,1830,-20,2026-05-25T14:43:25.348Z
ko-0275,309,4,3,1,1722,2740,25,2026-05-25T20:19:00.156Z
ko-0279,274,1,1,0,3195,3195,24,2026-05-25T13:25:33.417Z
ko-0280,278,1,1,0,2019,2019,28,2026-05-25T14:26:19.677Z
ko-0283,331,3,3,0,2280,1381,30,2026-05-25T20:18:09.977Z
ko-0284,272,1,1,0,3569,3569,22,2026-05-25T13:50:47.677Z
ko-0287,277,1,1,0,2382,2382,27,2026-05-25T13:21:53.763Z
ko-0289,273,1,1,0,3389,3389,23,2026-05-25T20:15:54.221Z
ko-0290,309,2,2,0,1611,1242,31,2026-05-25T20:17:44.398Z
ko-0291,232,3,1,2,7167,15426,-20,2026-05-25T20:24:46.778Z
ko-0292,230,1,0,1,4117,4117,-20,2026-05-25T14:43:20.271Z
ko-0294,273,1,1,0,3473,3473,23,2026-05-25T13:44:55.797Z
ko-0297,256,3,2,1,6722,6123,-20,2026-05-25T20:28:31.034Z
ko-0299,250,2,1,1,5062,5880,-20,2026-05-25T20:33:06.784Z
ko-0300,308,2,2,0,1553,1,34,2026-05-25T13:48:47.266Z
ko-0301,274,1,1,0,3091,3091,24,2026-05-25T15:22:47.669Z
ko-0303,271,1,1,0,3974,3974,21,2026-05-25T14:45:15.705Z
ko-0306,280,1,1,0,1445,1445,30,2026-05-25T20:19:22.939Z
ko-0308,281,2,2,0,5385,2900,25,2026-05-25T14:26:17.064Z
ko-0310,230,1,0,1,4876,4876,-20,2026-05-25T20:23:34.713Z
ko-0311,286,4,3,1,6123,4958,17,2026-05-25T20:22:00.926Z
ko-0312,262,3,2,1,17382,3885,21,2026-05-25T20:31:28.601Z
ko-0314,305,2,2,0,2178,1993,28,2026-05-25T14:28:29.880Z
ko-0315,275,1,1,0,2801,2801,25,2026-05-25T20:15:32.669Z
ko-0318,230,1,0,1,21923,21923,-20,2026-05-25T13:43:49.698Z
ko-0319,257,1,1,0,7720,7720,7,2026-05-25T13:23:15.148Z
ko-0320,258,2,1,1,4968,2109,28,2026-05-25T13:23:36.141Z
ko-0321,230,1,0,1,9574,9574,-20,2026-05-25T14:43:50.188Z
ko-0322,278,1,1,0,2032,2032,28,2026-05-25T14:15:02.846Z
ko-0323,329,3,3,0,2447,1646,29,2026-05-25T20:32:51.157Z
ko-0324,278,2,2,0,5830,7997,6,2026-05-25T20:33:47.235Z
ko-0325,278,1,1,0,1970,1970,28,2026-05-25T13:41:36.516Z
ko-0326,281,1,1,0,1238,1238,31,2026-05-25T20:33:13.718Z
ko-0327,255,2,1,1,6030,2853,25,2026-05-25T20:34:27.867Z
ko-0329,308,2,2,0,1640,1682,29,2026-05-25T14:45:18.169Z
